,,Concentration at different uptake rate (m3/s.mol),,,
radius (m),radius (mm),1.00E-02,1.00E-01,1.00E+00,1.00E+01
0,0,24.64325173,24.58400271,24.56152617,24.55304219
1.50E-04,0.15,24.63795742,24.55398672,24.50993906,24.51460913
1.88E-04,0.188013614,22.60946516,17.73232594,15.52673805,15.2303136
2.14E-04,0.213824867,21.23203592,13.10035455,9.426694522,8.925791497
2.39E-04,0.2394802,19.86288717,8.496865737,3.363892481,2.660162781
2.50E-04,0.25,61.90623137,209.4350623,276.6535559,285.9015761
2.60E-04,0.259999788,60.96165346,206.2581162,272.4677824,281.5768409
2.70E-04,0.27,60.01729026,203.0818561,268.2828207,277.2529346
2.95E-04,0.294550379,57.7519111,195.4614678,258.2418157,266.8788412
2.96E-04,0.296314426,57.58915207,194.9139694,257.5203964,266.1334916
2.98E-04,0.298368849,57.40476271,194.2936034,256.702899,265.2888973
3.23E-04,0.323136254,55.18053565,186.8103867,246.8418401,255.1009664
3.46E-04,0.345601884,53.22251539,180.2215471,238.1586381,246.1300852
3.54E-04,0.354313476,52.46383575,177.6685333,234.7940719,242.6540577
3.61E-04,0.361375707,51.86828914,175.664054,232.1521636,239.9246567
3.87E-04,0.386710165,49.7405465,168.5023745,222.7130364,230.172925
4.12E-04,0.41186501,47.69815034,161.6264106,213.6495853,220.8093421
4.18E-04,0.418159134,47.18676164,159.9047729,211.3802506,218.4648587
4.27E-04,0.42718042,46.48273299,157.533953,208.2548604,215.2359603
4.56E-04,0.455751842,44.2513932,150.0199288,198.3492746,205.0023164
4.76E-04,0.475772315,42.76057398,144.9979522,191.727978,198.1616403
4.97E-04,0.496844375,41.19051118,139.7090778,184.7548521,190.9574921
5.20E-04,0.520030413,39.5483732,134.1754571,177.4579844,183.4187401
5.41E-04,0.541456337,38.03588107,129.0785725,170.7368953,176.4748192
5.58E-04,0.557650302,36.95418138,125.4319471,165.9274088,171.5057315
5.92E-04,0.592146998,34.66595791,117.7175609,155.752909,160.9936262
6.44E-04,0.644256393,31.43153312,106.8079064,141.361225,146.1238394
6.49E-04,0.649110081,31.1301955,105.7914948,140.0203949,144.7384546
6.70E-04,0.670238603,29.96527791,101.8587766,134.8305395,139.3758092
7.55E-04,0.75462861,25.29273123,86.08495966,114.0147555,117.8670548
7.66E-04,0.765601246,24.70521129,84.10111085,111.3965553,115.1616944
7.83E-04,0.782871845,23.92206044,81.45334373,107.9002555,111.5486901
9.15E-04,0.915168852,18.04494679,61.58006246,81.65606159,84.42752617
0.001039104,1.039103505,13.87179357,47.43912922,62.96484799,65.10927914
0.001091326,1.091325881,12.09610184,41.42267154,55.01285731,56.89077692
0.001148394,1.148394318,10.71602463,36.73536471,48.81099824,50.48024264
0.001256097,1.256096777,8.17155705,28.09186392,37.37366374,38.65765692
0.00143531,1.43530961,5.431417148,18.7624028,25.01619977,25.88304561
0.001484313,1.484312542,4.733744971,16.3859961,21.8678427,22.62822481
0.001540407,1.540406929,4.448610959,15.41279139,20.57730558,21.29395019
0.0018,1.8,3.133571617,10.9244569,14.62575688,15.14092323
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
